Company,City,Starting Year,Founders,Industries,Description,No. of Employees,Funding Amount in $,Funding Round,No. of Investors,Company_clean,Founders_clean,founders_count,startup_clean,SeriesA_flag,num_funding_rounds,early_total_funding,unique_investors_count
OfBusiness,Gurgaon,2015,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Financial Services, FinTech, Lending",OfBusiness is a financial platform that provides SMEs with smart funding.,501-1000,"₹193,125,171",7,13,ofbusiness,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar",7,ofbusiness,0.0,4.0,403.43,7.0
LEAD School,Mumbai,2012,"Smita Deorah, Sumeet Mehta","E-Learning, EdTech, Education, Secondary Education",LEAD School is a technology-based school transformation system that provides kids with a high-quality education.,501-1000,"₹65,966,878",4,3,lead school,"Smita Deorah, Sumeet Mehta",2,lead school,0.0,2.0,2550.0,3.0
Upstox,Mumbai,2010,"Raghu Kumar, Shrinivas Viswanath","Financial Services, FinTech, Trading Platform",Upstox is a fintech startup that provides customers with new investing possibilities.,101-250,"₹29,000,000",2,3,upstox,"Raghu Kumar, Shrinivas Viswanath",2,,0.0,0.0,0.0,0.0
Teachmint,Bengaluru,2020,"Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain","E-Learning, EdTech, Education",Teachmint is an online learning platform that focuses on the connection between tutors and students.,51-100,"₹20,000,000",3,5,teachmint,"Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain",4,teachmint,0.0,2.0,4565.0,3.0
ZestMoney,Bengaluru,2015,"Ashish Anantharaman, Lizzie Chapman, Priya Sharma","Big Data, Consumer Lending, Financial Services, FinTech",ZestMoney is a consumer loan fintech startup based in India.,101-250,"₹68,373,925",9,15,zestmoney,"Ashish Anantharaman, Lizzie Chapman, Priya Sharma",3,zestmoney,1.0,4.0,299.52,6.0
Convosight,Delhi,2019,"Kartik Bansal, Tamanna Dhamija, Tarun Dhamija","SaaS, Social Media, Social Media Management",Convosight is a community management tool that helps community builders grow and monetise their Facebook groups.,51-100,"₹13,000,000",2,5,convosight,"Kartik Bansal, Tamanna Dhamija, Tarun Dhamija",3,convosight,0.0,1.0,33.0,2.0
Livspace,Bengaluru,2014,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","E-Commerce, Furniture, Interior Design","Livspace is an interior design startup that links individuals with designers, services, and products through a platform.",1001-5000,"₹101,691,508",8,17,livspace,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag",3,livspace,0.0,7.0,2037.75,11.0
Rebel Foods,Pune,2011,"Jaydeep Barman, Kallol Banerjee","E-Commerce, Food Delivery, Food Processing",Rebel Foods Services is a food delivery platform that delivers food right to your door.,5001-10000,"₹342,349,901",20,19,rebel foods,"Jaydeep Barman, Kallol Banerjee",2,rebel foods,0.0,4.0,1082.0,2.0
Spinny,Gurgaon,2015,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","E-Commerce, E-Commerce Platforms, Internet, Retail",Spinny is a used automobile buying platform that makes transactions safe and simple.,251-500,"₹126,900,000",5,13,spinny,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur",3,spinny,1.0,5.0,476.25,11.0
Synapsica,New Delhi,2018,"Cherian Dr, Gandharv Goyal, Kuldeep Singh Chauhan, Meenakshi Singh","Artificial Intelligence, Health Care, Health Diagnostics, Information Technology, Machine Learning, Medical, Natural Language Processing, Predictive Analytics, Software",Synapsica is a healthtech and teleradiology company that automates diagnostic radiology workflow and reporting using artificial intelligence.,Nov-50,"₹4,200,835",4,5,synapsica,"Cherian Dr, Gandharv Goyal, Kuldeep Singh Chauhan, Meenakshi Singh",4,,0.0,0.0,0.0,0.0
DeHaat,Patna City,2012,"Amrendra Singh, Shashank Kumar","Agriculture, AgTech, E-Commerce, Farming, Internet, Marketplace",DeHaat is a website that sells farm products and services.,251-500,"₹49,286,284",5,8,dehaat,"Amrendra Singh, Shashank Kumar",2,dehaat,0.0,1.0,98.0,1.0
Masai School,Bengaluru,2019,Prateek Shukla,"E-Learning, Education, Training",Masai School is a software training company that focuses on helping people get jobs.,01-Oct,"₹7,483,079",3,4,masai school,Prateek Shukla,1,masai school,0.0,1.0,21.0,3.0
Wysa,Bengaluru,2015,"Jo Aggarwal, Ramakant Vempati","Artificial Intelligence, Fitness, Health Care, Medical Device, mHealth",Wysa is an artificial intelligence (AI) conversational agent that has been proved to promote mental wellness.,Nov-50,"₹9,357,626",4,9,wysa,"Jo Aggarwal, Ramakant Vempati",2,,0.0,0.0,0.0,0.0
Magicpin,Gurgaon,2015,"Anshoo Sharma, Brij Bhushan","E-Commerce, E-Commerce Platforms, Internet, Retail","Magicpin is a platform that allows users and merchants in a certain area to find, communicate with, and transact with one another.",501-1000,"₹41,884,162",7,12,magicpin,"Anshoo Sharma, Brij Bhushan",2,magicpin,0.0,8.0,516.2,9.0
Ather Energy,Bengaluru,2013,"Arun Vinayak, Swapnil Jain, Tarun Mehta","Automotive, Electric Vehicle, Manufacturing",Ather Energy is an electric scooter company.,501-1000,"₹102,210,000",5,5,ather energy,"Arun Vinayak, Swapnil Jain, Tarun Mehta",3,ather energy,0.0,5.0,834.5,5.0
Trell,Bengaluru,2016,"Arun Lodhi, Bimal Kartheek Rebba, Prashant Sachan, Pulkit Agrawal","Lifestyle, Social Network, Social Shopping, Video",Trell is a lifestyle social commerce website that allows users to submit 3-minute videos demonstrating their passions.,101-250,"₹16,950,000",7,31,trell,"Arun Lodhi, Bimal Kartheek Rebba, Prashant Sachan, Pulkit Agrawal",4,trell,0.0,7.0,162.44,15.0
Convin,Bengaluru,2019,"Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary","Analytics, Artificial Intelligence, Sales, Software",Convin is a conversation intelligence technology that aids remote sales teams in better understanding talks.,Nov-50,"₹300,000",1,7,convin,"Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary",4,,0.0,0.0,0.0,0.0
Yellow Messenger,Bengaluru,2016,"Anik Das, Jaya Kishore Reddy Gollareddy, Raghu Kumar, Rashid Khan","Artificial Intelligence, Customer Service, Enterprise Software, Messaging, Software",Yellow Messenger is a software platform that may be used as a consumer engagement channel for businesses using artificial intelligence.,251-500,"₹24,000,000",3,3,yellow messenger,"Anik Das, Jaya Kishore Reddy Gollareddy, Raghu Kumar, Rashid Khan",4,yellow messenger,0.0,1.0,164.0,2.0
Mamaearth,Gurgaon,2016,Varun Alagh,"E-Commerce, Health Care, Retail, Wellness",Mamaearth is an online retailer that specializes in products for babies and toddlers.,Nov-50,"₹23,313,960",5,8,mamaearth,Varun Alagh,1,mamaearth,1.0,8.0,238.86,7.0
Milkbasket,Haryana,2014,"Anant Goel, Anurag Jain, Ashish Goel, Yatish Talavdia","Delivery Service, E-Commerce, Food and Beverage, Internet",Milkbasket is a daily micro-delivery service that caters to consumers' shopping and housekeeping needs.,Nov-50,"₹38,519,469",11,18,milkbasket,"Anant Goel, Anurag Jain, Ashish Goel, Yatish Talavdia",4,milkbasket,1.0,8.0,212.36,8.0
Bimaplan,Bengaluru,2020,Not Available,"Financial Services, Insurance",Insurance for the next billion Indians at an affordable price,01-Oct,"₹3,000,000",2,27,bimaplan,Not Available,1,,0.0,0.0,0.0,0.0
Urban Ladder,Bengaluru,2012,"Ashish Goel, Rajiv Srivatsa","E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet",Urban Ladder is an online furniture firm situated in Bangalore.,501-1000,"₹114,896,667",9,10,urban ladder,"Ashish Goel, Rajiv Srivatsa",2,urban ladder,0.0,6.0,693.46,9.0
PagarBook,Bengaluru,2019,"Adarsh Kumar, Arya Gautam, Rupesh Mishra","Apps, Enterprise Software, Human Resources, Mobile Apps, SaaS, Software","PagarBook is a small- and medium-business salary, job, and attendance management tool.",101-250,"₹17,000,000",2,4,pagarbook,"Adarsh Kumar, Arya Gautam, Rupesh Mishra",3,pagarbook,0.0,1.0,1249.0,2.0
Paytm Payments Bank,New Delhi,2017,Vijay Shekhar Sharma,"Banking, FinTech, Mobile Payments",Paytm Payments Bank is a mobile-first bank that offers accounts with no minimum balance and no digital transaction fees.,1001-5000,"₹28,188,461",2,2,paytm payments bank,Vijay Shekhar Sharma,1,,0.0,0.0,0.0,0.0
OkCredit,Faridabad,2017,"Aditya Prasad, Gaurav Kumar, Harsh Pokharna","Finance, Financial Exchanges, Financial Services, FinTech, Personal Finance",OkCredit makes credit account management easier for both store owners and customers.,101-250,"₹84,200,000",3,6,okcredit,"Aditya Prasad, Gaurav Kumar, Harsh Pokharna",3,okcredit,1.0,1.0,127.88,1.0
Purplle,Mumbai,2011,"Manish Taneja, Rahul Dash","Beauty, Cosmetics, E-Commerce, Mobile Apps, Retail, Shopping","Purplle is an online retailer of cosmetics, fragrances, skin care, and hair care items.",101-250,"₹93,649,358",10,15,purplle,"Manish Taneja, Rahul Dash",2,purplle,0.0,5.0,54.93,7.0
MyMoneyMantra,New Delhi,1989,Raj Khosla,"Consumer Lending, Finance, Financial Services, FinTech, Insurance, Lending, Marketplace, Personal Finance",MyMoneyMantra is India's largest consumer and commercial finance phy-gital (physical-digital) marketplace.,1001-5000,"₹15,000,000",1,2,mymoneymantra,Raj Khosla,1,,0.0,0.0,0.0,0.0
Blackbuck,Bengaluru,2015,"Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B","Information Services, Internet, Logistics, Supply Chain Management, Transportation",Blackbuck is a logistics company based in India that makes trucking easier for both shippers and drivers.,1001-5000,"₹296,995,198",8,13,blackbuck,"Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B",3,blackbuck,1.0,9.0,2620.1,19.0
Wakefit,Bengaluru,2016,"Ankit Garg, Chaitanya Ramalingegowda","E-Commerce, Furniture, Manufacturing, Retail","Wakefit is a home solutions firm that tries to offer unique, modern, and affordable goods.",251-500,"₹30,000,000",2,3,wakefit,"Ankit Garg, Chaitanya Ramalingegowda",2,wakefit,0.0,3.0,1795.0,2.0
Freshtohome,Bengaluru,2015,Shan Kadavil,"E-Commerce, E-Commerce Platforms, Food and Beverage, Food Delivery, Online Portals","Freshtohome is an online marketplace selling chemical-free, fresh chicken, beef, and seafood.",51-100,"₹152,000,000",9,23,freshtohome,Shan Kadavil,1,freshtohome,0.0,2.0,0.0,3.0
Housing.com,Gurgaon,2012,"Abhimanyu Dhamija, Abhishek Anand, Advitiya Sharma, Amrit Raj, Neeraj Bhunwal, Rahul Yadav, Ravish Naresh, Rishabh Agrawal, Sanat Ghosh, Saurabh Goyal, Snehil Buxy, Vaibhav Tolia","Internet, Online Portals, Real Estate","Housing.com is an online real estate listing service in India that makes it easier to find, rent, and sell homes.",1001-5000,"₹147,830,000",8,16,housing.com,"Abhimanyu Dhamija, Abhishek Anand, Advitiya Sharma, Amrit Raj, Neeraj Bhunwal, Rahul Yadav, Ravish Naresh, Rishabh Agrawal, Sanat Ghosh, Saurabh Goyal, Snehil Buxy, Vaibhav Tolia",12,,0.0,0.0,0.0,0.0
Doubtnut,Gurgaon,2016,"Aditya Shankar, Tanushree Nagori","E-Learning, EdTech, Education, Image Recognition, STEM Education","Doubtnut is an e-learning website that allows users to ask physics, chemistry, and math study questions.",Nov-50,"₹49,939,813",5,10,doubtnut,"Aditya Shankar, Tanushree Nagori",2,doubtnut,0.0,3.0,130.0,2.0
smallcase,Bengaluru,2015,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath",Financial Services,Changing India's equities investment strategy,101-250,"₹22,000,000",3,11,smallcase,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath",3,smallcase,0.0,2.0,1111.0,4.0
Instamojo,Bengaluru,2012,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","Business Development, E-Commerce, Financial Services, Payments","Instamojo is a mobile payments platform that helps entrepreneurs start, run, and grow their businesses online.",101-250,"₹8,444,527",7,14,instamojo,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain",4,instamojo,0.0,1.0,249.0,1.0
Zomato,Gurgaon,2008,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Food Delivery, Mobile Apps, Reservations, Restaurants",Zomato is an online restaurant guide and food ordering platform that allows users to order and have meals delivered from restaurants.,10001+,"₹2,100,568,357",21,25,zomato,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah",3,zomato,0.0,9.0,10590.75,10.0
SUGAR Cosmetics,Mumbai,2012,"Kaushik Mukherjee, Vineeta Singh","Beauty, Brand Marketing, Cosmetics, Internet, Online Portals, Retail","SUGAR Cosmetics is a cruelty-free makeup brand that specializes on high-style, high-performance cosmetics.",1001-5000,"₹35,500,000",3,6,sugar cosmetics,"Kaushik Mukherjee, Vineeta Singh",2,sugar cosmetics,0.0,1.0,1490.0,2.0
WinZO,New Delhi,2018,"Chanchal Kurele, Paavan Nanda, Saumya Singh Rathore","Digital Entertainment, eSports, Gaming, Media and Entertainment, Online Games",WinZO is a mobile e-sports social game platform that rewards participants with cash and prizes.,51-100,"₹45,500,000",5,12,winzo,"Chanchal Kurele, Paavan Nanda, Saumya Singh Rathore",3,winzo,0.0,2.0,2409.0,3.0
Chingari,Bengaluru,2018,Not Available,"Social, Video",Chingari is a video-on-demand service.,01-Oct,"₹14,340,302",5,18,chingari,Not Available,1,chingari,0.0,2.0,19.0,9.0
Fisdom,Bengaluru,2015,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V.","Advice, Apps, Finance, Financial Services, FinTech",Fisdom is a fintech firm that provides investment advisory services via an app.,101-250,"₹23,450,864",6,7,fisdom,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V.",3,fisdom,0.0,4.0,37.96,7.0
Digit Insurance,Bengaluru,2016,"Kamesh Goyal, Philip Varghese, Sriram Shankar, Vijay Kumar","Finance, Financial Services, Insurance, InsurTech",Digit Insurance is a financial services firm that specializes in general insurance.,1001-5000,"₹244,460,150",5,4,digit insurance,"Kamesh Goyal, Philip Varghese, Sriram Shankar, Vijay Kumar",4,,0.0,0.0,0.0,0.0
Aye Finance,Gurgaon,2014,"Sanjay Sharma, Vikram Jetley","Finance, Financial Services, FinTech, Small and Medium Businesses",Aye Financing is a finance company that helps micro and small businesses with business loans.,501-1000,"₹261,193,454",23,23,aye finance,"Sanjay Sharma, Vikram Jetley",2,aye finance,0.0,10.0,917.1999999999999,10.0
Rivigo,Gurgaon,2014,"Deepak Garg, Gazal Kalra","Automotive, Freight Service, Logistics, Shipping, Software, Transportation",Rivigo is a transportation service company with a technology-enabled logistics platform.,1001-5000,"₹268,701,257",11,6,rivigo,"Deepak Garg, Gazal Kalra",2,rivigo,0.0,7.0,2732.0,10.0
Pepper Content,Mumbai,2017,"Anirudh Singla, Rishabh Shekhar","Content, Content Marketing, Media and Entertainment",Pepper Content is a content-mediation platform that links writers with content-hungry businesses.,Nov-50,"₹4,506,066",2,19,pepper content,"Anirudh Singla, Rishabh Shekhar",2,,0.0,0.0,0.0,0.0
Get My Parking,New Delhi,2015,"Chirag Jain, Rasik Pansare","Automotive, Internet, Parking, Software",Get My Parking is a business-to-business platform-as-a-service provider.,51-100,"₹10,392,793",5,8,get my parking,"Chirag Jain, Rasik Pansare",2,get my parking,0.0,3.0,36.93,6.0
FabAlley,Noida,2012,"Shivani Poddar, Tanvi Malik","E-Commerce, Fashion, Lifestyle, Women's",FabAlley is an online fashion company that specializes in women's clothing.,101-250,"₹18,658,274",8,18,faballey,"Shivani Poddar, Tanvi Malik",2,faballey,0.0,4.0,137.5,7.0
FarMart,Gurgaon,2015,"Alekh Sanghera, Lokesh Singh, Mehtab Singh Hans","Agriculture, Apps, Farming, Mobile, SaaS",FarMart is a micro-SaaS platform that assists food businesses in obtaining high-quality goods at low costs.,Nov-50,"₹3,280,204",4,6,farmart,"Alekh Sanghera, Lokesh Singh, Mehtab Singh Hans",3,farmart,0.0,1.0,0.0,1.0
mfine,Bengaluru,2017,"Ajit Narayanan, Arjun Choudhary, Ashutosh Lawania, Prasad Kompalli","Apps, Artificial Intelligence, Health Care, Hospital, Medical",Mfine is a health-tech firm that is working on an AI-powered telemedicine app for mobile devices.,251-500,"₹48,785,217",6,11,mfine,"Ajit Narayanan, Arjun Choudhary, Ashutosh Lawania, Prasad Kompalli",4,mfine,1.0,4.0,89.45,6.0
Medlife,Bengaluru,2014,"Ananth Narayanan, Prashanth Singh, Tushar Kumar","Information Technology, Retail",Medlife is a value-driven smartphone app that allows you to get medicines online and have them delivered to your home in India.,1001-5000,"₹56,506,662",4,3,medlife,"Ananth Narayanan, Prashanth Singh, Tushar Kumar",3,medlife,0.0,4.0,837.25,4.0
Lendingkart,Ahmedabad,2014,"Harshvardhan Lunia, Mukul Sachan","Finance, Financial Services, FinTech, Lending, Micro Lending",Lendingkart is an online lender that offers SME borrowers short-term working capital loans.,501-1000,"₹257,504,119",12,15,lendingkart,"Harshvardhan Lunia, Mukul Sachan",2,lendingkart,0.0,9.0,1519.43,18.0
Chqbook,Delhi,2017,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Finance, Financial Services, FinTech","Chqbook is a fintech firm that enables clients to research, compare, book, and purchase personal finance products.",101-250,"₹6,000,000",3,8,chqbook,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma",4,chqbook,0.0,2.0,41.0,6.0
Turtlemint,Mumbai,2015,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Financial Services, Health Insurance, Insurance, InsurTech",Turtlemint is an insurtech platform that helps people find and buy the right insurance products.,251-500,"₹77,000,000",5,10,turtlemint,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah",3,turtlemint,0.0,2.0,0.0,3.0
Ecom Express,New Delhi,2012,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","Delivery, E-Commerce, Logistics","Ecom Express is a logistics solutions provider that enables customization, scalability, and the processing of delivery services.",10001+,"₹485,392,829",6,4,ecom express,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan",4,ecom express,0.0,3.0,1377.75,2.0
BharatPe,New Delhi,2018,"Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani","Apps, Financial Services, FinTech, Payments, QR Codes",BharatPe is a FinTech firm that assists merchants in accepting free payments from customers.,251-500,"₹290,345,855",7,17,bharatpe,"Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani",3,bharatpe,0.0,3.0,2053.75,3.0
Vymo,Bengaluru,2013,"Venkat Malladi, Yamini Bhat","Analytics, Apps, CRM, Mobile, Productivity Tools, SaaS, Sales Automation",Vymo is a personal assistant program that automates sales and service team duties in businesses.,51-100,"₹23,000,000",5,5,vymo,"Venkat Malladi, Yamini Bhat",2,vymo,0.0,1.0,41.25,1.0
Shiprocket,New Delhi,2017,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","E-Commerce, Logistics, Shipping, Supply Chain Management",Shiprocket is an e-commerce shipping platform that allows direct-to-consumer companies to ship at a lower cost.,251-500,"₹53,350,000",6,12,shiprocket,"Gautam Kapoor, Saahil Goel, Vishesh Khurana",3,shiprocket,0.0,3.0,734.13,6.0
LeadSquared,Bengaluru,2011,Nilesh Patel,"CRM, SaaS, Software",Platform for sales execution and marketing automation that helps companies alter their sales processes.,101-250,"₹35,000,000",2,3,leadsquared,Nilesh Patel,1,,0.0,0.0,0.0,0.0
FamPay,Bengaluru,2019,"Kush Taneja, Sambhav Jain","Financial Services, Lifestyle, Payments","FamPay allows parents to send money to their adolescent children via UPI, P2P, and card payments.",51-100,"₹42,850,000",3,17,fampay,"Kush Taneja, Sambhav Jain",2,fampay,0.0,1.0,39.0,4.0
Quikr,Bengaluru,2008,"Jiby Thomas, Pranay Chulet","Classifieds, E-Commerce, Internet, Marketplace, Rental Property","Quikr is a free classifieds and online marketplace in India that allows users to sell, buy, rent, and discover anything.",1001-5000,"₹424,214,622",12,15,quikr,"Jiby Thomas, Pranay Chulet",2,quikr,0.0,5.0,2007.5,8.0
Quizizz,Bengaluru,2015,"Ankit Gupta, Deepak Joy Cheenath","E-Learning, Education, Gamification, Skill Assessment, Software, Training",Quizizz is an educational platform that provides any learner with engaging gamified quizzes and interactive courses.,Nov-50,"₹15,504,114",3,6,quizizz,"Ankit Gupta, Deepak Joy Cheenath",2,quizizz,0.0,1.0,24.75,2.0
Stanza Living,New Delhi,2017,"Anindya Dutta, Sandeep Dalmia","Home Services, Hospitality, Information Technology, Real Estate, Rental Property",Stanza Living is a tech-enabled co-living concept designed for students and working people who are relocating.,251-500,"₹172,175,325",6,12,stanza living,"Anindya Dutta, Sandeep Dalmia",2,stanza living,0.0,4.0,162.5,4.0
Pristyn Care,Gurgaon,2018,Harsimarbir (Harsh) Singh,"Health Care, Hospital, Internet",Pristyn Care is a health-care startup that is changing the way elective surgery is performed.,501-1000,"₹81,000,000",4,5,pristyn care,Harsimarbir (Harsh) Singh,1,pristyn care,0.0,2.0,915.0,5.0
Polygon (Previously Matic Network),Mumbai,2017,Not Available,Blockchain,Matic Network is a scalability platform for blockchains.,Nov-50,"₹450,000",3,4,polygon (previously matic network),Not Available,1,,0.0,0.0,0.0,0.0
Bobble AI,Haryana,2015,"Ankit Prasad, Mohd Wassem, Rahul Prasad","Artificial Intelligence, Machine Learning, Messaging, Natural Language Processing, Text Analytics",Bobble AI is a keyboard discussion media platform that creates customised content for its customers using artificial intelligence.,51-100,"₹13,275,213",5,3,bobble ai,"Ankit Prasad, Mohd Wassem, Rahul Prasad",3,,0.0,0.0,0.0,0.0
Cell Propulsion,Bengaluru,2016,"Nakul Kukar, Paras Kaushal","Automotive, Electric Vehicle",Cell Propulsion is a fleet electrification firm that develops solutions for large-scale commercial vehicle fleet electrification.,Nov-50,"₹4,074,000",6,6,cell propulsion,"Nakul Kukar, Paras Kaushal",2,cell propulsion,0.0,3.0,1.4,3.0
Dukaan®,Bengaluru,2019,"Kaustub Pandey, Subhash Choudhary, Suumit Shah",DIY,Dukaan is a self-service platform that allows merchants with no programming experience to set up an e-commerce store using their smartphone.,Nov-50,"₹6,000,000",1,9,dukaan®,"Kaustub Pandey, Subhash Choudhary, Suumit Shah",3,,0.0,0.0,0.0,0.0
Play Shifu,Bengaluru,2016,"Dinesh Advani, Vivek Goyal","Augmented Reality, Education, Media and Entertainment, STEM Education, Toys",PlayShifu is an EdTech company that provides teaching and learning tools for kids aged 4 to 12.,51-100,"₹28,438,340",5,10,play shifu,"Dinesh Advani, Vivek Goyal",2,,0.0,0.0,0.0,0.0
Lava International Limited,Noida,2009,"Shailendra Nath Rai, Sunil Bhalla, Vishal Sehgal","Consumer Electronics, Mobile, Telecommunications",Lava International Limited adheres to the highest standards of moral and professional ethics.,501-1000,"₹90,000,000",1,1,lava international limited,"Shailendra Nath Rai, Sunil Bhalla, Vishal Sehgal",3,,0.0,0.0,0.0,0.0
Vivriti Capital,Chennai,2017,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Analytics, Banking, Crowdfunding, Financial Services, FinTech, Insurance, Marketplace",Vivriti Capital is a marketplace for small businesses and individuals that don't have easy access to credit.,101-250,"₹107,701,572",4,2,vivriti capital,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar",5,vivriti capital,0.0,4.0,778.0,5.0
DocsApp,Bengaluru,2015,"Enbasekar Dinadayalane, Satish Kannan","Health Care, Medical, Mobile Apps, Wellness",DocsApp is an online medical consultation platform that offers advice to patients of all ages in a variety of fields.,1001-5000,"₹27,575,748",5,11,docsapp,"Enbasekar Dinadayalane, Satish Kannan",2,docsapp,0.0,3.0,147.3,8.0
Furlenco,Bengaluru,2012,Ajith Karimpana,"Consumer, Furniture, Home Decor, Home Improvement, Rental, Subscription Service",Furlenco is a monthly furniture rental subscription service that allows users to rent furniture on a monthly basis.,251-500,"₹68,955,715",16,21,furlenco,Ajith Karimpana,1,furlenco,0.0,8.0,448.15,7.0
Swiggy,Bengaluru,2014,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Delivery Service, E-Commerce Platforms, Restaurants",Swiggy is an on-demand meal delivery service that delivers food from local eateries to clients' doorsteps.,10001+,"₹2,428,380,000",14,23,swiggy,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety",3,swiggy,0.0,12.0,13513.630000000001,17.0
Bombay Shaving Company,New Delhi,2015,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Consumer Goods, E-Commerce, Lifestyle, Men's","Bombay Shaving Company is a consumer goods company that specializes in the development of shave, beard, and skincare products.",01-Oct,"₹17,696,569",6,16,bombay shaving company,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande",4,,0.0,0.0,0.0,0.0
Treebo Hotels,Bengaluru,2015,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Hospitality, Hotel, Internet","Treebo is India's first tech-enabled, asset-light, low-cost lodging brand.",501-1000,"₹69,174,397",9,16,treebo hotels,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta",3,treebo hotels,0.0,1.0,83.0,1.0
