Company,City,Starting Year,Founders,Industries,Description,No. of Employees,Funding Amount in $,Funding Round,No. of Investors,Company_clean,Founders_clean,founders_count,startup_clean,SeriesA_flag,num_funding_rounds,early_total_funding,unique_investors_count
Betterhalf,Bengaluru,2016,"Pawan Gupta, Rahul Namdev","Artificial Intelligence, Consumer Applications, Dating","Based on the past data of millions of married couples, Betterhalf develops an AI-based partner prediction engine.",Nov-50,"₹4,600,000",3,10,betterhalf,"Pawan Gupta, Rahul Namdev",2,,0.0,0.0,0.0,0.0
JioSaavn,Mumbai,2007,"Anjali Naik, Anurag Gupta, Paramdeep Singh, Rishi Malhotra, Vinodh Bhat","Internet, Mobile, Music, Music Streaming, Video Streaming","Saavn is an Indian, Bollywood, and international music streaming service.",101-250,"₹131,591,747",7,13,jiosaavn,"Anjali Naik, Anurag Gupta, Paramdeep Singh, Rishi Malhotra, Vinodh Bhat",5,,0.0,0.0,0.0,0.0
nearbuy,New Delhi,2011,Ankur Warikoo,"Apps, E-Commerce, Internet, Restaurants, Travel","NearBuy helps you find the finest things to do, purchase, and use in your area.",501-1000,"₹37,237,275",3,2,nearbuy,Ankur Warikoo,1,nearbuy,0.0,2.0,152.63,2.0
Indifi Technologies,Gurgaon,2015,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Credit, Financial Services, FinTech, Lending",Indifi Technologies is a small company financing provider with a digital lending platform.,101-250,"₹35,826,551",5,15,indifi technologies,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi",3,,0.0,0.0,0.0,0.0
Portea Medical,Bengaluru,2013,"Ganesh Krishnan, Karan Aneja, Manjusha Anumolu, Meena Ganesh, Zachary Jones","Health Care, Home Health Care, Hospital, Medical","With a 24-city network, Portea Medical is India's largest and fastest-growing provider of in-home medical services.",1001-5000,"₹76,066,894",6,10,portea medical,"Ganesh Krishnan, Karan Aneja, Manjusha Anumolu, Meena Ganesh, Zachary Jones",5,portea medical,0.0,5.0,724.88,8.0
Stashfin,New Delhi,2016,Tushar Aggarwal,"Apps, Banking, Finance, Financial Services, FinTech",StashFin is a digital lending startup that uses technology to make credit decisions in real time.,51-100,"₹75,000,000",3,14,stashfin,Tushar Aggarwal,1,stashfin,0.0,1.0,41.25,2.0
Square Yards,Gurgaon,2014,"Kanika Gupta, Tanuj Shori","Market Research, Real Estate","Square Yards is India's largest real estate platform, with over 20 cities and 9 countries represented.",5001-10000,"₹73,000,000",6,11,square yards,"Kanika Gupta, Tanuj Shori",2,square yards,0.0,3.0,231.0,4.0
HealthifyMe,Bengaluru,2012,"Mathew Cherian, Sachin Shenoy, Tushar Vashisht","Apps, Fitness, Health Care, mHealth",HealthifyMe is a computer and smartphone application that allows users to reach their fitness and weight loss goals.,101-250,"₹25,000,000",7,17,healthifyme,"Mathew Cherian, Sachin Shenoy, Tushar Vashisht",3,healthifyme,0.0,7.0,266.25,13.0
QuickSell,Mumbai,2017,Deepak Bhagchandani,Software,Platform for B2B Mobile Commerce,Nov-50,"₹2,225,000",2,6,quicksell,Deepak Bhagchandani,1,,0.0,0.0,0.0,0.0
Perpule,Bengaluru,2016,"Abhinav Pathak, Saketh BSV, Yogesh Ghaturle","Apps, Billing, Enterprise Software, Mobile Payments, Point of Sale, Retail Technology, SaaS, Shopping, Software","UltraPOS by Perpule is a cloud-based, mobile POS solution that significantly enhances your store's billing and checkout processes.",101-250,"₹6,361,203",3,5,perpule,"Abhinav Pathak, Saketh BSV, Yogesh Ghaturle",3,perpule,1.0,3.0,73.36,2.0
ReNew Power,Gurgaon,2011,Sumant Sinha,"Clean Energy, Energy, Renewable Energy, Solar, Wind Energy",ReNew Power is an Indian wind energy company.,101-250,"₹2,776,179,257",12,9,renew power,Sumant Sinha,1,,0.0,0.0,0.0,0.0
Hike,New Delhi,2012,Kavin Bharti Mittal,"Apps, Messaging, Mobile, Online Portals, Social Network",Hike is a company that creates and develops mobile messaging apps.,251-500,"₹261,000,000",5,10,hike,Kavin Bharti Mittal,1,hike,0.0,1.0,1443.75,5.0
Mswipe Technologies,Mumbai,2011,Manish Patel,"Financial Services, Payments","POS, Mobile POS, mPOS, Card Payment, Payment Solutions, mQR, QR code, Digital Payments, Card Swiping Machine, NFC Payment, mQR, QR code, mQR, QR code, Digital Payments, Card Swiping Machine",5001-10000,"₹97,467,607",9,14,mswipe technologies,Manish Patel,1,,0.0,0.0,0.0,0.0
Virohan,Gurgaon,2018,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja","Continuing Education, Corporate Training, EdTech, Health Care, Higher Education, Vocational Education",Virohan is an EdTech startup that provides students with healthcare vocational training so that they can pursue a career in the field.,101-250,"₹3,450,000",6,9,virohan,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja",4,virohan,0.0,1.0,9.0,2.0
BimaPe,Mumbai,2020,Rahul Mathur,"Consumer Applications, FinTech, InsurTech","For individuals and families across India, BimaPe demystifies insurance and its management. 'BimaPe Bharosa Karo' means 'BimaPe Bharosa Karo.'",01-Oct,"₹545,000",2,5,bimape,Rahul Mathur,1,,0.0,0.0,0.0,0.0
Netmeds,Chennai,2010,Pradeep Dadha,"E-Commerce, Health Care, Pharmaceutical",Welcome to the most convenient drugstore in India!,501-1000,"₹99,000,000",3,4,netmeds,Pradeep Dadha,1,netmeds,0.0,5.0,1170.25,6.0
XYXX Apparels,Surat,2017,Yogesh Kabra,"Gaming, Sports","XYXX Apparels, which owns the XYXX innerwear line.",51-100,"₹4,923,799",3,3,xyxx apparels,Yogesh Kabra,1,,0.0,0.0,0.0,0.0
One97,Noida,2000,Vijay Shekhar Sharma,"Finance, FinTech, Internet, Mobile Advertising, Mobile Payments, Software",One97 provides its customers with mobile content and commerce services.,1001-5000,"₹4,432,652,051",13,15,one97,Vijay Shekhar Sharma,1,,0.0,0.0,0.0,0.0
Airmeet,Bengaluru,2019,"Lalit Mangal, Manoj Singh, Vinay Kumar Jasti","Events, Social, Software, Video Conferencing","Airmeet is an all-in-one event platform that features virtual social lounges for networking and virtual summits, meetups, and courses.",51-100,"₹15,000,000",4,20,airmeet,"Lalit Mangal, Manoj Singh, Vinay Kumar Jasti",3,airmeet,0.0,2.0,1021.0,3.0
BookMyShow,Mumbai,1999,"Ashish Hemrajani, Parikshit Dar, Rajesh Balpande","Digital Entertainment, E-Commerce, Event Management, Events, Internet, Media and Entertainment, Online Auctions, Social Media, Sports","BookMyShow is an online ticketing service for movies, theaters, and sporting events in India.",501-1000,"₹224,500,000",6,6,bookmyshow,"Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",3,,0.0,0.0,0.0,0.0
Embibe,Mumbai,2012,Aditi Avasthi,"Content Creators, Digital Marketing, EdTech, Education, Tutoring",Embibe gives students with tailored educational input.,101-250,"₹196,656,376",4,4,embibe,Aditi Avasthi,1,embibe,0.0,1.0,104.0,1.0
Awign Enterprises,Bengaluru,2016,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Business Development, E-Commerce, EdTech, Hospitality, Information Technology, Last Mile Transportation, Marketing, Outsourcing",Awign is a work fulfillment platform that focuses on the gig economy and offers last-mile delivery.,251-500,"₹5,463,025",5,11,awign enterprises,"Annanya Sarthak, Gurpreet Singh, Praveen Sah",3,awign enterprises,0.0,4.0,52.0,6.0
ixigo,Gurgaon,2006,"Aloke Bajpai, Dharmendra Yashovardhan, Rajnish Kumar","Mobile, Mobile Apps, Tourism, Travel",ixigo.com is an online travel site in India that makes all of your vacations easier.,101-250,"₹35,500,000",5,6,ixigo,"Aloke Bajpai, Dharmendra Yashovardhan, Rajnish Kumar",3,ixigo,0.0,2.0,123.75,3.0
Shuttl,Gurgaon,2015,"Amit Singh, Deepanshu Malviya","Apps, Mobile, Software, Transportation","Shuttl is an app-based shuttle service that makes everyone's everyday commute safer, more reliable, and more economical.",251-500,"₹122,313,023",13,22,shuttl,"Amit Singh, Deepanshu Malviya",2,shuttl,0.0,8.0,439.5,8.0
Chai Point,Bengaluru,2010,"Amuleek Singh Bijral, Gaganjot Kaur","Food and Beverage, Food Processing, Restaurants, Snack Food, Tea",Chai Point is a multi-channel beverage company that offers a precisely brewed cup of chai.,1001-5000,"₹46,221,395",9,6,chai point,"Amuleek Singh Bijral, Gaganjot Kaur",2,chai point,0.0,2.0,82.5,3.0
Avail Finance,Bengaluru,2017,"Ankush Aggarwal, Tushar Mehndiratta","Finance, FinTech, Mobile Payments",Avail is a digital app that provides loans to India's blue-collar population with flexible repayment choices.,51-100,"₹41,443,027",5,8,avail finance,"Ankush Aggarwal, Tushar Mehndiratta",2,avail finance,1.0,4.0,247.97,4.0
Flock,Mumbai,2014,Bhavin Turakhia,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Flock is a real-time messaging and collaboration app for teams that improves productivity by speeding up and simplifying communication.,101-250,"₹45,000,000",3,2,flock,Bhavin Turakhia,1,flock,0.0,2.0,0.0,1.0
GlowRoad,Bengaluru,2017,"Kunal Sinha, Nilesh Padariya, Nitesh Pant, Shekhar Sahu, Sonal Verma","E-Commerce, Retail, Social Shopping","GlowRoad is the largest reseller network in the world, with over 200,000 resellers selling in over 1000 cities and earning money online.",51-100,"₹31,300,000",4,7,glowroad,"Kunal Sinha, Nilesh Padariya, Nitesh Pant, Shekhar Sahu, Sonal Verma",5,glowroad,0.0,2.0,111.38,3.0
HomeLane,Bengaluru,2014,"Rama Harinath, Srikanth Iyer, Tanuj Choudhry, Vivek Parasuram","Home Decor, Home Improvement, Interior Design, Internet",HomeLane is a home interior design firm that assists buyers in creating unique interiors for their homes.,501-1000,"₹63,359,735",9,12,homelane,"Rama Harinath, Srikanth Iyer, Tanuj Choudhry, Vivek Parasuram",4,homelane,0.0,7.0,1232.5900000000001,13.0
Wow! Momo,Kolkata,2008,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Food and Beverage, Food Delivery, Food Processing",Wow! Momo is a fast-food restaurant chain known for its momos.,251-500,"₹37,996,690",5,6,wow! momo,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman",3,wow! momo,0.0,2.0,2512.2,3.0
LetsTransport,Bengaluru,2015,"Ankit Parasher, Pushkar Singh, Sudarshan Ravi","Logistics, Transportation, Travel",Lets Transport is a logistics company that offers a variety of services.,Nov-50,"₹24,628,092",8,12,letstransport,"Ankit Parasher, Pushkar Singh, Sudarshan Ravi",3,letstransport,0.0,6.0,334.73,8.0
Digital Class E-Learning Marketplace,Ahmedabad,2017,"Hitesh Mohkar, Tushar Dhakate","B2B, B2C, E-Learning, EdTech, Marketplace",Sellers and consumers of online courses can meet on this educational marketplace.,Nov-50,"₹42,000",1,0,digital class e-learning marketplace,"Hitesh Mohkar, Tushar Dhakate",2,,0.0,0.0,0.0,0.0
RentoMojo,Bengaluru,2014,"Achal Mittal, Ajay Nain, Geetansh Bamania","E-Commerce, Furniture, Internet, Rental","RentoMojo is an online rental marketplace that offers monthly rentals of furniture, appliances, and gadgets (mobile phones, laptops).",501-1000,"₹51,443,326",14,19,rentomojo,"Achal Mittal, Ajay Nain, Geetansh Bamania",3,rentomojo,0.0,3.0,101.0,5.0
SBI Life,Mumbai,2001,Not Available,"Financial Services, Health Care, Insurance",SBI Life is a life insurance company that provides a variety of plans and policies to safeguard you and your loved ones.,10001+,"₹742,000,000",1,2,sbi life,Not Available,1,sbi life,0.0,2.0,7420.0,1.0
Zivame.com,Bengaluru,2011,"Kapil Karekar, Richa Kar","E-Commerce, Fashion, Internet, Lingerie","Zivame is an online lingerie store based in India that allows users to shop by category, brand, color, and size.",251-500,"₹69,002,120",8,11,zivame.com,"Kapil Karekar, Richa Kar",2,,0.0,0.0,0.0,0.0
VerSe Innovation,Bengaluru,2007,"Umang Bedi, Virendra Gupta","Content, Internet, Social Media",VerSe Innovation is a platform for local language technology.,501-1000,"₹434,009,213",20,22,verse innovation,"Umang Bedi, Virendra Gupta",2,verse innovation,0.0,1.0,8300.0,1.0
CoinDCX,Mumbai,2017,"Neeraj Khandelwal, Sumit Gupta","Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform",CoinDCX is a cryptocurrency-enabled financial services provider.,Nov-50,"₹5,500,000",3,10,coindcx,"Neeraj Khandelwal, Sumit Gupta",2,coindcx,0.0,3.0,876.0,5.0
Country Delight,Sohna,2015,"Chakradhar Gade, Nitin Kaushal","Agriculture, Delivery Service, Food and Beverage, Food Delivery","Country Delight makes and distributes milk with the goal of delivering high-quality, pure milk to your home.",501-1000,"₹44,247,827",9,6,country delight,"Chakradhar Gade, Nitin Kaushal",2,country delight,0.0,1.0,2075.0,2.0
BankBazaar.com,Chennai,2008,"Adhil Shetty, Arjun Shetty, Rati Shetty","E-Commerce, Finance, FinTech, Insurance, Marketplace",BankBazaar.com is an independent online marketplace that provides immediate customized loan and insurance rate quotations.,1001-5000,"₹115,000,000",6,16,bankbazaar.com,"Adhil Shetty, Arjun Shetty, Rati Shetty",3,,0.0,0.0,0.0,0.0
Happay,Whitefield,2012,"Anshul Rai, Varun Rathi","Financial Services, FinTech, SaaS, Software",Happay is an artificial intelligence-powered business expenditure management software that helps companies automate their cost management processes.,251-500,"₹21,556,985",7,8,happay,"Anshul Rai, Varun Rathi",2,happay,0.0,2.0,6.1899999999999995,2.0
Five Star Business Finance,Kilpauk,1984,V K Ranganathan,"Banking, Finance, Financial Services, Personal Finance",Five-Star is a Reserve Bank of India-registered non-banking finance company (NBFC) (RBI).,1001-5000,"₹456,059,601",7,8,five star business finance,V K Ranganathan,1,,0.0,0.0,0.0,0.0
Goodera,Bengaluru,2014,"Abhishek Humbad, Richa Bajpai","Computer, Events, Software, Sustainability",Goodera is a technological platform that assists businesses in managing their corporate social responsibility (CSR) programs.,101-250,"₹17,612,830",3,6,goodera,"Abhishek Humbad, Richa Bajpai",2,goodera,0.0,1.0,45.38,2.0
Simpl,Bengaluru,2015,"Chaitra Chidanand, Nityanand Sharma","E-Commerce, Financial Services, Lending, Payments","In India, Simpl is the most popular Pay-Later platform.",101-250,"₹26,700,000",3,5,simpl,"Chaitra Chidanand, Nityanand Sharma",2,,0.0,0.0,0.0,0.0
F5 Refreshement,New Delhi,2018,"Lalit Aggarwal, Raghav Arora",Food and Beverage,F5 Refreshment is a company that produces snacks and beverages.,51-100,"₹621,291",2,6,f5 refreshement,"Lalit Aggarwal, Raghav Arora",2,,0.0,0.0,0.0,0.0
ShopClues,Gurgaon,2011,"Radhika Aggarwal, Sandeep Aggarwal, Sanjay Sethi","E-Commerce, Internet, Marketplace, Shopping",Shop Clues is a platform that allows buyers and sellers to communicate in a controlled environment.,1001-5000,"₹257,002,291",11,12,shopclues,"Radhika Aggarwal, Sandeep Aggarwal, Sanjay Sethi",3,shopclues,0.0,3.0,1713.53,5.0
Aknamed,Bengaluru,2018,"Saurabh Pandey, Varun Vohra","Health Care, Hospital, Supply Chain Management","In India, Aknamed is optimizing the healthcare supply chain.",51-100,"₹7,000,000",1,1,aknamed,"Saurabh Pandey, Varun Vohra",2,,0.0,0.0,0.0,0.0
Droom,Haryana,2014,Sandeep Aggarwal,"Automotive, B2B, E-Commerce, E-Commerce Platforms, Internet, Marketplace, News",Droom is an online vehicle marketplace that is powered by technology and data science.,251-500,"₹133,000,000",7,10,droom,Sandeep Aggarwal,1,droom,0.0,6.0,624.75,9.0
Box8,Mumbai,2012,"Amit Raj, Anshul Gupta","Delivery, E-Commerce, Food and Beverage, Food Delivery",BOX8 is a meal-delivery service that delivers meals in a handy and easy-to-carry box.,1001-5000,"₹32,668,662",9,10,box8,"Amit Raj, Anshul Gupta",2,box8,0.0,5.0,132.01,6.0
Cashkaro,Gurgaon,2013,"Rohan Bhargava, Swati Bhargava","Coupons, Customer Service, E-Commerce, Internet, Retail",Customers who shop at online stores through Cashkaro are rewarded with coupons and rebates.,51-100,"₹14,550,000",4,3,cashkaro,"Rohan Bhargava, Swati Bhargava",2,cashkaro,0.0,3.0,860.53,4.0
CropIn,Bengaluru,2010,Krishna Kumar,"Analytics, Artificial Intelligence, Farming, Forestry, Information and Communications Technology (ICT), Machine Learning, Predictive Analytics, SaaS, Satellite Communication, Software",CropIn is a leading AI and data-driven agri-tech company that uses deep learning to give SaaS solutions to agribusinesses throughout the world.,101-250,"₹32,599,576",10,12,cropin,Krishna Kumar,1,,0.0,0.0,0.0,0.0
Jupiter,Mumbai,2019,Jitendra Gupta,"Banking, Consulting, Financial Services, Wealth Management",Jupiter is a digital retail banking solution that helps consumers keep track of their spending.,Nov-50,"₹26,000,000",2,7,jupiter,Jitendra Gupta,1,,0.0,0.0,0.0,0.0
ShopX,Bengaluru,2015,"Amit Sharma, Apoorva Jois","B2B, E-Commerce, Internet","Brands, merchants, and consumers are all connected through ShopX, a retail operating system.",101-250,"₹56,417,592",4,5,shopx,"Amit Sharma, Apoorva Jois",2,shopx,0.0,3.0,342.0,3.0
LocoNav,Azadpur,2015,"Shridhar Gupta, Vidit Jain","Computer, Software, Software Engineering",LocoNav is an online fleet management software supplier that offers a single platform for running and managing fleet operations.,101-250,"₹7,420,000",3,3,loconav,"Shridhar Gupta, Vidit Jain",2,,0.0,0.0,0.0,0.0
Avataar.Me,Bengaluru,2016,"Gaurav Baid, Mayank Tiwari, Prashanth Aluru, Sravanth Aluru","3D Technology, Augmented Reality, E-Commerce, Fashion, Mobile Apps, Software, Virtual Reality",Avataar.Me is a high-tech provider of AR and VR services that are utilized to turn 2D design materials into 3D social media campaigns.,51-100,"₹7,000,000",1,1,avataar.me,"Gaurav Baid, Mayank Tiwari, Prashanth Aluru, Sravanth Aluru",4,,0.0,0.0,0.0,0.0
BluSmart Mobility,Ahmedabad,2019,"Anmol Jaggi, Punit Goyal","Electric Vehicle, Mobile Apps, Ride Sharing",BluSmart is an electric vehicle fast charging network and a zero-emission ridehailing service.,51-100,"₹17,062,939",5,20,blusmart mobility,"Anmol Jaggi, Punit Goyal",2,,0.0,0.0,0.0,0.0
SleepyCat,Mumbai,2017,Kabir Siddiq,E-Commerce,SleepyCat is a mattress and sleep-solutions firm that sells directly to consumers online.,01-Oct,"₹1,320,000",1,3,sleepycat,Kabir Siddiq,1,,0.0,0.0,0.0,0.0
INDwealth,Gurgaon,2018,"Abhay Girnara, Amit Jain, Amrita Sirohia, Ashish Kashyap, Monika Dua, Pratiksha Dake","Artificial Intelligence, Financial Services, FinTech, Machine Learning, Personal Finance, Wealth Management",INDwealth is a wealth management platform for HNI families that uses Artificial Intelligence and Machine Learning.,101-250,"₹56,891,230",3,4,indwealth,"Abhay Girnara, Amit Jain, Amrita Sirohia, Ashish Kashyap, Monika Dua, Pratiksha Dake",6,indwealth,0.0,4.0,572.75,5.0
Shipsy,Gurgaon,2015,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","Big Data, Internet of Things, Logistics, Machine Learning, Software, Supply Chain Management","Shipsy's platform provides data-driven decision-making in the Supply Chain business, improving visibility and operational efficiency.",101-250,"₹7,697,983",4,8,shipsy,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi",3,shipsy,0.0,2.0,506.25,3.0
Kissht,Mumbai,2015,"Karan Mehta, Krishnan Vishwanathan","Credit, Finance, Financial Services, FinTech, Lending, Sales Automation","Kissht is a financial technology platform that allows users to get fast, hassle-free credit for purchases made at digital points of sale.",251-500,"₹49,247,312",6,8,kissht,"Karan Mehta, Krishnan Vishwanathan",2,kissht,0.0,4.0,567.0,6.0
MedGenome,Bengaluru,2013,"Mahesh Pratapneni, Sam Santhosh","Biotechnology, Genetics, Health Care, Health Diagnostics, Medical","MedGenome is a biotechnology firm that offers a comprehensive tracking, analysis, and data reporting system.",251-500,"₹119,000,000",6,12,medgenome,"Mahesh Pratapneni, Sam Santhosh",2,medgenome,0.0,4.0,946.0,9.0
Fabhotels,Gurgaon,2015,"Adarsh Manpuria, Vaibhav Aggarwal","E-Commerce, Hospitality, Hotel, Travel Accommodations",Fabhotels is an online hotel room aggregator. Its goal is to provide standardized services at a low cost.,51-100,"₹48,598,636",7,9,fabhotels,"Adarsh Manpuria, Vaibhav Aggarwal",2,fabhotels,0.0,4.0,440.25,6.0
Loadshare,Bengaluru,2017,"Pramod Nair, Raghuram Talluri, Rakib Ahmed, Tanmoy Karmakar","Delivery Service, Industrial Automation, Logistics, Software, Supply Chain Management","Loadshare Network focuses on first-mile, line-haul, and last-mile delivery services via its logistical software solutions.",Nov-50,"₹21,262,496",7,9,loadshare,"Pramod Nair, Raghuram Talluri, Rakib Ahmed, Tanmoy Karmakar",4,loadshare,1.0,4.0,66.5,3.0
Gradeup,Noida,2015,"Sanjeev Kumar, Shobhit Bhatnagar, Vibhu Bhushan","Education, Mobile, Online Portals",India's largest and most effective competitive test preparation site.,501-1000,"₹10,020,000",5,2,gradeup,"Sanjeev Kumar, Shobhit Bhatnagar, Vibhu Bhushan",3,gradeup,0.0,1.0,71.0,2.0
FreeCharge,Mumbai,2010,"Kunal Shah, Sandeep Tandon","Coupons, E-Commerce, Internet, Payments",FreeCharge is a service that provides coupons for consumers to utilize when topping up their mobile subscriptions.,251-500,"₹177,639,874",7,7,freecharge,"Kunal Shah, Sandeep Tandon",2,freecharge,0.0,2.0,1130.25,5.0
Healthkart,Gurgaon,2011,Sameer Maheshwari,"Dietary Supplements, E-Commerce, Fitness, Health Care, Retail, Wellness","Consumers may reach their fitness objectives with the support of HealthKart's fitness products, services, and community.",251-500,"₹61,000,000",4,8,healthkart,Sameer Maheshwari,1,healthkart,0.0,3.0,200.0,4.0
Saveo,Bengaluru,2019,Not Available,"Fitness, Health Care, Wellness",Saveo is a pharmacy-focused business-to-business e-commerce platform.,101-250,"₹3,720,000",2,24,saveo,Not Available,1,,0.0,0.0,0.0,0.0
True Balance,Gurgaon,2014,"Cheolwon Lee, Jay Yi, Martin Lee","Apps, Financial Services, FinTech, Insurance, Mobile Payments, Personal Finance",True Balance is a digital wallet that allows users to pay bills and access other financial services.,51-100,"₹99,640,920",7,17,true balance,"Cheolwon Lee, Jay Yi, Martin Lee",3,true balance,0.0,5.0,735.5,9.0
Coverfox Insurance,Mumbai,2013,"Devendra Rane, Varun Dua","Auto Insurance, Health Insurance, Insurance, InsurTech, Life Insurance, Travel",Coverfox Insurance is an insurtech company that offers simple online insurance brokerage services.,501-1000,"₹51,250,370",6,13,coverfox insurance,"Devendra Rane, Varun Dua",2,,0.0,0.0,0.0,0.0
EarlySalary,Pune,2015,Akshay Mehrotra,"Financial Services, FinTech, Personal Finance",EarlySalary.com is a Pune-based FinTech startup. We're here to save you from going bankrupt.,101-250,"₹33,267,529",7,6,earlysalary,Akshay Mehrotra,1,earlysalary,0.0,2.0,141.91,2.0
Pitstop,Bengaluru,2015,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Automotive, Service Industry",Pitstop's doorstep service provides general automotive repair and maintenance services.,101-250,"₹9,702,517",5,12,pitstop,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak",3,pitstop,0.0,7.0,133.25,13.0
Wheels Eye,Gurgaon,2017,"Anshul Mimani, Manish Somani","Information Services, Information Technology",WheelsEye is a logistics-tech firm that has received funding.,1001-5000,"₹840,000",1,1,wheels eye,"Anshul Mimani, Manish Somani",2,,0.0,0.0,0.0,0.0
Bira 91,New Delhi,2015,Ankur Jain,"Brewing, Craft Beer, Food and Beverage, Wine And Spirits",Bira 91 is a craft beer company established in India that develops and manufactures a variety of craft beers.,251-500,"₹160,465,015",14,13,bira 91,Ankur Jain,1,,0.0,0.0,0.0,0.0
PlanetSpark,Gurgaon,2016,"Kunal Malik, Maneesh Dhooper","E-Learning, EdTech, Education",PlanetSpark is an after-school math and English program for children in grades two through seven.,01-Oct,"₹576,000",2,4,planetspark,"Kunal Malik, Maneesh Dhooper",2,planetspark,0.0,3.0,7.2,4.0
LimeRoad,Gurgaon,2012,"Ankush Mehra, Manish Saksena, Prashant Malik, Suchi Mukherjee","E-Commerce, Fashion, Internet, Shopping","A fun and exciting way to discover beautiful items, share them, and shop for them.",251-500,"₹51,944,731",5,6,limeroad,"Ankush Mehra, Manish Saksena, Prashant Malik, Suchi Mukherjee",4,limeroad,0.0,1.0,247.5,3.0
Pratilipi,Bengaluru,2015,"Prashant Gupta, Rahul Ranjan, Ranjeet Pratap Singh, Sahradayi Modi, Sankaranarayanan Devarajan","Audio, Comics, Digital Media, EBooks, Podcast, Publishing, Reading Apps","Pratilipi is a platform for language storytelling that connects readers, writers, and their stories.",51-100,"₹29,833,055",5,12,pratilipi,"Prashant Gupta, Rahul Ranjan, Ranjeet Pratap Singh, Sahradayi Modi, Sankaranarayanan Devarajan",5,pratilipi,1.0,6.0,280.56,5.0
Freight Tiger,Mumbai,2014,Swapnil Shah,"Automotive, Logistics, Transportation","Freight Transactions that are simple, efficient, and transparent.",Nov-50,"₹6,600,000",1,3,freight tiger,Swapnil Shah,1,,0.0,0.0,0.0,0.0
unlu,Gurgaon,2020,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal","Celebrity, Internet, Media and Entertainment, Social Media",unlu is a celebrity interaction platform that enables consumers and brands to receive endorsements from well-known figures.,Nov-50,"₹1,284,058",2,4,unlu,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal",4,,0.0,0.0,0.0,0.0
